Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Transcript type
ENSRNOG00000057521,ENSRNOG00000057521.1,ENSRNOT00000080149,ENSRNOT00000080149.1,misc_RNA
ENSRNOG00000047176,ENSRNOG00000047176.2,ENSRNOT00000075546,ENSRNOT00000075546.2,protein_coding
ENSRNOG00000016109,ENSRNOG00000016109.6,ENSRNOT00000021883,ENSRNOT00000021883.6,protein_coding
ENSRNOG00000058757,ENSRNOG00000058757.1,ENSRNOT00000077951,ENSRNOT00000077951.1,snoRNA
ENSRNOG00000025848,ENSRNOG00000025848.4,ENSRNOT00000035906,ENSRNOT00000035906.3,protein_coding
ENSRNOG00000006398,ENSRNOG00000006398.8,ENSRNOT00000050893,ENSRNOT00000050893.5,protein_coding
ENSRNOG00000006398,ENSRNOG00000006398.8,ENSRNOT00000074197,ENSRNOT00000074197.2,protein_coding
ENSRNOG00000041515,ENSRNOG00000041515.1,ENSRNOT00000063268,ENSRNOT00000063268.1,miRNA
ENSRNOG00000024501,ENSRNOG00000024501.6,ENSRNOT00000080744,ENSRNOT00000080744.1,protein_coding
ENSRNOG00000024501,ENSRNOG00000024501.6,ENSRNOT00000059183,ENSRNOT00000059183.3,protein_coding
ENSRNOG00000024501,ENSRNOG00000024501.6,ENSRNOT00000059181,ENSRNOT00000059181.4,protein_coding
ENSRNOG00000053222,ENSRNOG00000053222.1,ENSRNOT00000088405,ENSRNOT00000088405.1,protein_coding
ENSRNOG00000016913,ENSRNOG00000016913.7,ENSRNOT00000022839,ENSRNOT00000022839.7,protein_coding
ENSRNOG00000057595,ENSRNOG00000057595.1,ENSRNOT00000083904,ENSRNOT00000083904.1,snRNA
ENSRNOG00000013618,ENSRNOG00000013618.6,ENSRNOT00000018870,ENSRNOT00000018870.6,protein_coding
ENSRNOG00000004527,ENSRNOG00000004527.8,ENSRNOT00000006083,ENSRNOT00000006083.6,protein_coding
ENSRNOG00000004527,ENSRNOG00000004527.8,ENSRNOT00000072526,ENSRNOT00000072526.3,protein_coding
ENSRNOG00000060200,ENSRNOG00000060200.1,ENSRNOT00000080019,ENSRNOT00000080019.1,snoRNA
